date,hosp,vent,mort
3/9/2020,1,0,0
3/10/2020,1,0,0
3/11/2020,1,0,0
3/12/2020,1,0,0
3/13/2020,1,0,0
3/14/2020,1,0,0
3/15/2020,1,0,0
3/16/2020,1,0,0
3/17/2020,3,0,0
3/18/2020,3,1,0
3/19/2020,3,1,0
3/20/2020,4,2,0
3/21/2020,4,2,1
3/22/2020,5,2,0
3/23/2020,7,2,0
3/24/2020,9,1,0
3/25/2020,11,1,0
3/26/2020,13,3,0
3/27/2020,13,3,0
3/28/2020,15,6,0
3/29/2020,21,6,0
3/30/2020,20,9,0
3/31/2020,21,10,0
4/1/2020,26,11,1
4/2/2020,33,14,0
4/3/2020,33,14,0
4/4/2020,36,18,1
4/5/2020,46,20,0
4/6/2020,49,18,2
4/7/2020,51,15,4
4/8/2020,52,14,2
4/9/2020,58,17,2
4/10/2020,58,14,4
4/11/2020,51,14,1
4/12/2020,56,15,0
4/13/2020,60,11,1
4/14/2020,58,14,1
4/15/2020,58,11,2
4/16/2020,58,9,1
4/17/2020,54,10,6
4/18/2020,57,12,3
4/19/2020,61,12,2
4/20/2020,67,11,1
4/21/2020,65,13,1
4/22/2020,69,16,0
4/23/2020,66,20,2
4/24/2020,68,18,4
4/25/2020,71,18,3
4/26/2020,82,18,1
4/27/2020,83,17,2
4/28/2020,73,16,-1
4/29/2020,77,16,1
4/30/2020,76,16,0
5/1/2020,78,17,5
5/2/2020,77,16,1
5/3/2020,70,16,3
5/4/2020,75,16,0
5/5/2020,72,17,1
5/6/2020,80,8,2
5/7/2020,80,8,0
